,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Gender,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
22,0,-1.2774445836787653,-1.4827115340671475,-0.996889997900782,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
23,0,1.0436161483629642,-0.1615829189350794,0.5406104143232503,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
24,0,0.6771328748826911,-0.1715537009360759,0.30466578944845657,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
25,0,-0.09655403579788535,-0.31446824295036274,-0.33050525848019074,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
26,0,0.5956921474426308,1.149574914195992,1.0894640242250586,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
27,0,-1.2774445836787653,-1.1486903370337567,-0.9924561095687108,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
28,0,1.6137012404433893,0.8471278601657574,1.8043127072554035,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
29,0,-0.6259187641582799,-0.0020504069191314062,-0.5235227853738375,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
30,1,1.572980876723359,1.0498670941860242,1.9796829174044883,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
31,1,-1.236724219958735,1.0216165451832004,-0.925638956544613,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0
32,0,-0.2187151269579763,0.04614170608568636,-0.17880451191474966,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33,0,-1.2774445836787653,-1.4810497370669813,-0.9968679387548512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
34,1,-1.2774445836787653,-0.6484894399837534,-0.9858163066435693,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
35,0,1.6137012404433893,1.1678546811978194,2.193546337202649,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
36,0,-1.114563128798644,0.1641292930974809,-0.8659689668020628,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
37,0,0.5549717837226001,0.3336325871144254,0.5596695164073774,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
38,0,0.0663274190822361,1.3822264942192488,0.5600886401800607,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
39,0,-0.8702409464784621,1.099721004191008,-0.5180962354748846,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0
40,0,-0.9109613101984922,-0.505574897969467,-0.7959091193261517,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
41,0,1.5322605130033289,0.14751132309581974,1.1438177597983097,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
42,0,-0.6259187641582799,-1.4627699700651537,-0.8212550780005289,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
43,0,1.2472179669631163,0.5014740841312038,1.1390088659854165,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
44,0,-0.7888002190384013,0.3801629031190771,-0.572780858237096,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
45,0,0.6771328748826911,0.6560212051466532,0.7177894744386526,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
46,0,-1.236724219958735,-0.5155456799704636,-0.9629850906052922,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
47,0,-1.236724219958735,0.5280628361338622,-0.9421833159926399,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0
48,0,0.7992939660427824,0.4981504901308716,0.8550414804194837,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
49,0,1.491540149283298,-0.020330173920958643,0.8710564203651737,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
50,1,0.43281069256250926,0.8471278601657574,0.6878110951188282,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
51,0,-0.7073594915983406,1.141265929195161,-0.3764765185997746,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0
52,1,-0.30015585439803705,0.15748210509681623,-0.2325405914019409,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
53,1,-0.992402037638553,0.5280628361338622,-0.7263786913525774,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
54,1,1.125056875803025,0.33529438411459145,0.9602856656548653,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0
55,1,-0.5851984004382494,1.0199547481830344,-0.23258470969380243,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
56,0,1.2472179669631163,1.1595456961969888,1.778613802246135,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
57,1,1.3693790581232073,1.4520219682262263,2.116184912423676,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
58,0,0.0663274190822361,-1.3231790220511994,-0.6112299495943105,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
59,0,1.6137012404433893,1.4204478252230697,2.4591384542083063,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0
60,0,0.5956921474426308,1.1877962451998128,1.0709122824973383,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0
61,0,1.125056875803025,0.8354952811645948,1.3989759007787452,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
62,0,1.6137012404433893,-0.7531826509942191,0.30100397122396005,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
63,0,-0.5851984004382494,-0.3443805889533529,-0.5835236623053482,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
64,0,-0.9516816739185225,0.985057011179546,-0.627575776728961,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0
65,0,-1.1960038562387045,0.35025055711608655,-0.8980870832771656,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
66,0,0.5956921474426308,0.46989994112804756,0.604692233251941,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
67,0,-0.05583367207785499,0.4798707231290444,0.09594215065214953,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
68,0,0.7178532386027217,-1.4827115340671475,-0.5950826547730363,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
69,0,-0.9109613101984922,0.5014740841312038,-0.6142961708786782,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
70,0,-1.2774445836787653,-0.5221928679711281,-0.9841398115528361,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
71,0,0.7992939660427824,-1.4744025490663168,-0.5246036835244418,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
72,1,1.2879383306831464,1.5567151792366918,2.1261777055302833,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
73,0,1.2064976032430856,-1.3464441800535254,-0.37727064785328,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
74,0,-1.1960038562387045,-0.008697594919796091,-0.9275139839487226,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
75,1,0.9621754209229035,1.5201556452330374,1.702862695120103,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
76,0,0.5549717837226001,-0.3028356639491998,0.1804948570045322,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
77,0,-0.992402037638553,-0.3360716039525225,-0.7930193712092296,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
78,1,-0.09655403579788535,0.3319707901142593,-0.07431033764101193,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0
79,0,0.51425142000257,-1.2916048790480432,-0.4690366949250023,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
80,0,-1.2774445836787653,0.4848561141295422,-0.9707719691188302,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0
81,0,-0.8702409464784621,-0.4723389579661446,-0.7563570706724021,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
82,0,-1.0331224013585834,0.3452651661155883,-0.7865560414515338,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
83,0,0.39209032884247874,1.2974748472107769,0.9034392465914448,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
84,0,0.6771328748826911,-1.4827115340671475,-0.5763544398778698,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
85,0,-0.9516816739185225,1.147913117195826,-0.6004430272341971,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0
86,0,0.10704778280226648,-0.08680205392760401,-0.028361136667358965,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
87,0,0.636412511162661,-1.4660935640654862,-0.5394494887358047,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
88,0,0.5549717837226001,-1.4893587220678117,-0.5967591498637697,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
89,0,-0.13727439951791573,-1.0307027500219619,-0.5605159730996255,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
90,0,-0.09655403579788535,0.574593152138513,0.1281485037109753,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
91,1,-1.2774445836787653,0.33030899311409323,-0.9728234696903856,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
92,0,1.3693790581232073,0.639403235144992,1.5152496589794782,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1
93,0,1.3286586944031766,1.5384354122348647,2.1297071688791958,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0
94,0,1.6137012404433893,1.201090621201142,2.2850256153772723,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
95,0,-0.8295205827584314,0.4715617381282136,-0.5966488541341162,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
96,0,1.572980876723359,0.06940686408801146,1.0892654919116824,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
97,0,-1.114563128798644,-1.452799188064157,-0.9555511584266455,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
98,0,0.7992939660427824,-1.4544609850643233,-0.5173021062213793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
99,1,-0.30015585439803705,1.1213243651931677,0.10357461514417288,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
100,0,-1.2774445836787653,-1.4810497370669813,-0.9968679387548512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
101,0,-1.2774445836787653,-1.505976692069473,-0.9971988259438119,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
102,0,0.2292088739623576,1.0049985751815393,0.5849492976439623,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0
103,1,1.3693790581232073,-0.6385186579827568,0.32979115666352665,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
104,0,1.4508197855632678,1.5035376752313758,2.352438365341499,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0
105,0,-1.114563128798644,-1.3447823830533592,-0.9615733052657274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
106,0,1.6137012404433893,1.3091074262119398,2.21620108007348,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0
107,0,-0.015113308357824623,-1.1503521340339227,-0.596516499258532,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
108,0,0.43281069256250926,0.9833952141793796,0.7242307450504178,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
109,0,1.6137012404433893,-1.5076384890696393,-0.40433721991025195,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
110,0,0.9214550572028734,1.0631614701873535,1.3055333586162896,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0
111,0,0.7992939660427824,-0.22639300194155795,0.3364089004427374,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
112,0,0.43281069256250926,0.8936581761704091,0.7387015447809585,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
113,1,0.18848851024232705,0.3901336851200735,0.25959895431203156,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
114,0,1.2879383306831464,-0.33773340095268817,0.5046098881643438,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0
115,0,-1.1960038562387045,0.8338334841644284,-0.8961899967271252,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
116,0,0.14776814652229683,-1.1204397880309325,-0.5088534533299203,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
117,0,-0.9109613101984922,1.179487260198982,-0.5360744394084072,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
118,0,0.3513699651224485,-1.4660935640654862,-0.6373259192303316,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
119,0,-0.2187151269579763,0.679286363148979,-0.0565306660208659,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
120,0,0.9621754209229035,1.164531087197487,1.4275424947590052,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
121,0,-1.0738427650786138,-1.46443176706532,-0.956036459637121,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
122,0,-1.1960038562387045,0.32033821111309674,-0.904506294743,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
123,0,-1.0331224013585834,-0.467353566965646,-0.8512113981744228,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
124,0,-1.1552834925186743,-1.4594463760648217,-0.9780294281300315,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
125,0,0.025607055362205745,0.8039211381614383,0.3299676298309724,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
126,1,-0.2187151269579763,0.44164939212522347,-0.06363371101055203,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
127,0,1.6137012404433893,-1.369709338055851,-0.2452025411661642,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
128,0,-1.2774445836787653,-1.4960059100684764,-0.9970664710682275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
129,1,1.572980876723359,-0.2762469119465418,0.7524885109876477,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
130,0,-0.7888002190384013,0.7042133181514709,-0.4694558186976856,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
131,0,-0.30015585439803705,-0.20478964093939855,-0.34283632105545336,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0
132,0,1.4100994218432374,-0.4723389579661446,0.43252059926280817,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
133,0,-1.2774445836787653,-0.9742016520163136,-0.990139899245987,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
134,0,-1.236724219958735,-0.6784017859867436,-0.9699337215734636,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
135,0,0.43281069256250926,-1.2982520670487077,-0.4815662898136413,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
136,0,-0.38159658183809775,0.34027977511508967,-0.22113601295576785,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
137,0,1.2879383306831464,-1.4810497370669813,-0.44205835945175315,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
138,0,1.002895784642934,-1.5009913010689748,-0.48935316832717934,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
139,1,-1.2774445836787653,0.18905624809997282,-0.9746984970944954,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
140,1,1.6137012404433893,0.7740087921584481,1.829107187281513,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
141,0,-0.992402037638553,0.21232140610229866,-0.757107081634046,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
142,0,1.1657772395230555,1.20607601220164,1.6286336690632888,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
143,0,1.2879383306831464,0.6493740171459889,1.3276586819847842,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
144,1,1.572980876723359,-1.356414962054522,-0.23097439204086112,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
145,0,1.3286586944031766,1.139604132194995,1.8251586001599172,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
146,0,-1.1960038562387045,-1.5009913010689748,-0.9787132616538832,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
147,0,-1.2774445836787653,-0.6351950639824246,-0.9856398334761238,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
148,0,-0.09655403579788535,-0.008697594919796091,-0.15431885993167,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
149,0,-0.7073594915983406,0.15748210509681623,-0.5330964547077622,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
150,0,-0.992402037638553,0.12590796209365998,-0.7567982535910162,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
151,0,-1.0331224013585834,1.0049985751815393,-0.7165844305593456,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
152,0,1.5322605130033289,1.4420511862252299,2.4930433615037964,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
153,0,1.2064976032430856,0.7091987091519691,1.2950993825910673,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
154,0,-1.0738427650786138,-1.4976677070686426,-0.9557055724481605,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
155,0,-0.748079855318371,0.5363718211346925,-0.49718416513257874,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
156,0,-0.42231694555812815,0.6443886261454906,-0.20196661514198735,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
157,0,-0.42231694555812815,-1.4827115340671475,-0.8205271261848157,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
158,0,-0.6666391278783101,-0.017006579920626486,-0.5540085250500683,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
159,0,-0.9109613101984922,-1.2982520670487077,-0.8947782113875602,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
160,0,-0.7888002190384013,-0.29120308494803687,-0.6684734332844835,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
161,0,-0.5037576729981887,0.5862257311396764,-0.3032622132557732,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
162,0,-1.236724219958735,0.1641292930974809,-0.9461319031142357,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
163,0,0.8400143297628127,0.3037202411114352,0.7405324538932069,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0
164,0,-0.8702409464784621,-1.467755361065652,-0.9025871490470289,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
165,0,1.491540149283298,-1.491020519067978,-0.4042489833265291,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
166,0,-1.1552834925186743,0.20401242110146792,-0.8853368969292196,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
167,0,1.6137012404433893,0.8072447321617704,1.7535766716147878,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0
168,1,1.0436161483629642,-0.6468276429835875,0.16388432011871332,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
169,0,-0.6666391278783101,-1.4744025490663168,-0.8639836436682996,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
170,0,0.43281069256250926,0.6477122201458227,0.5556768109939202,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
171,0,-1.236724219958735,1.3174164112127706,-0.8986606210713638,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0
172,0,-0.748079855318371,0.5712695581381809,-0.48441191963870195,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
